file_name,entropy_bucket,depth,spatial_entropy,visual_entropy,spatial_espinometry,visual_espinometry,stopped_ratio,survival_rate,belief_state_entropy,decision_difficulty,pursue_rate,visited_cells
../poster/thig/04/18_04.json,04,thig,0.777456,0.934893,0.478378,0.931918,0.870217,0.36,0,0,0.798482,31.86
../poster/thig/03/05_03.json,03,thig,0.631217,0.942745,0.401822,0.940065,0.890385,0.14,0,0,0.894428,32.43
../poster/thig/03/17_03.json,03,thig,0.698869,0.942253,0.458758,0.934045,0.857775,0.22,0,0,0.886784,32.14
../poster/thig/04/10_04.json,04,thig,0.773862,0.934277,0.522109,0.925207,0.87579,0.43,0,0,0.821962,32.14
../poster/thig/04/01_04.json,04,thig,0.710712,0.944493,0.534068,0.924031,0.863347,0.25,0,0,0.872367,33.43
../poster/thig/04/12_04.json,04,thig,0.785217,0.934462,0.508243,0.899158,0.85451,0.65,0,0,0.858933,31.43
../poster/thig/04/15_04.json,04,thig,0.784103,0.934176,0.462305,0.915813,0.85451,0.39,0,0,0.857153,31.43
../poster/thig/04/07_04.json,04,thig,0.777971,0.931784,0.501218,0.927358,0.874227,0.17,0,0,0.86435,32.86
../poster/thig/03/09_03.json,03,thig,0.754282,0.930385,0.414751,0.918518,0.877988,0.49,0,0,0.886279,32.71
../poster/thig/03/06_03.json,03,thig,0.678393,0.946689,0.446048,0.928526,0.871148,0.3,0,0,0.876065,31
../poster/thig/05/12_05.json,05,thig,0.856476,0.925621,0.513296,0.85903,0.872939,0.72,0,0,0.752667,31.43
../poster/thig/05/17_05.json,05,thig,0.837538,0.930975,0.58551,0.890172,0.874769,0.53,0,0,0.777539,33
../poster/thig/05/07_05.json,05,thig,0.847295,0.927066,0.549028,0.892007,0.896846,0.5,0,0,0.822449,34.43
../poster/thig/04/08_04.json,04,thig,0.781145,0.937069,0.487822,0.907707,0.886001,0.41,0,0,0.802887,32.43
../poster/thig/04/16_04.json,04,thig,0.768102,0.943086,0.476826,0.921296,0.855166,0.38,0,0,0.85249,31.57
../poster/thig/05/19_05.json,05,thig,0.847334,0.916927,0.464483,0.878839,0.872939,0.69,0,0,0.695555,31.43
../poster/thig/03/14_03.json,03,thig,0.690255,0.951899,0.41562,0.936488,0.870217,0.48,0,0,0.901447,31.86
../poster/thig/03/08_03.json,03,thig,0.679655,0.941214,0.383989,0.918577,0.887515,0.26,0,0,0.853077,32.86
../poster/thig/04/19_04.json,04,thig,0.776235,0.935195,0.461,0.916728,0.870553,0.34,0,0,0.742131,30.86
../poster/thig/04/04_04.json,04,thig,0.787237,0.937632,0.525954,0.909127,0.856505,0.37,0,0,0.828852,31.86
../poster/thig/05/06_05.json,05,thig,0.854055,0.93105,0.480917,0.852184,0.87579,0.7,0,0,0.712807,32.14
../poster/thig/05/04_05.json,05,thig,0.84133,0.928727,0.526573,0.892646,0.845333,0.4,0,0,0.65061,33.28
../poster/thig/05/01_05.json,05,thig,0.780501,0.925831,0.561448,0.897554,0.886547,0.48,0,0,0.821669,35.14
../poster/thig/04/02_04.json,04,thig,0.77699,0.936496,0.471647,0.916523,0.894164,0.27,0,0,0.827867,33.57
../poster/thig/04/11_04.json,04,thig,0.774068,0.94163,0.457246,0.910423,0.871972,0.29,0,0,0.860469,32.29
../poster/thig/04/00_04.json,04,thig,0.710712,0.944493,0.534068,0.924031,0.863347,0.25,0,0,0.872367,33.43
../poster/thig/05/10_05.json,05,thig,0.845726,0.9309,0.54212,0.894022,0.855166,0.56,0,0,0.721525,31.57
../poster/thig/05/15_05.json,05,thig,0.779836,0.927952,0.49566,0.88201,0.887892,0.56,0,0,0.779803,31.72
../poster/thig/04/03_04.json,04,thig,0.702529,0.940495,0.44573,0.910962,0.876928,0.23,0,0,0.826443,33.57
../poster/thig/05/16_05.json,05,thig,0.823803,0.930434,0.486851,0.907707,0.855166,0.49,0,0,0.814952,31.57
../poster/thig/05/13_05.json,05,thig,0.840652,0.937329,0.552469,0.89562,0.892308,0.43,0,0,0.740308,33
../poster/thig/05/00_05.json,05,thig,0.780501,0.925831,0.561448,0.897554,0.886547,0.48,0,0,0.821669,35.14
../poster/thig/05/03_05.json,05,thig,0.769319,0.931884,0.491628,0.889626,0.878507,0.17,0,0,0.845672,34
../poster/thig/05/08_05.json,05,thig,0.838057,0.925156,0.45759,0.885922,0.887515,0.5,0,0,0.712727,32.86
../poster/thig/05/05_05.json,05,thig,0.765237,0.923852,0.468638,0.888,0.892308,0.34,0,0,0.806769,33
../poster/thig/05/11_05.json,05,thig,0.843089,0.935299,0.467592,0.877958,0.875877,0.38,0,0,0.817281,33.29
../poster/thig/03/02_03.json,03,thig,0.686693,0.946468,0.4336,0.942026,0.879077,0.21,0,0,0.870462,33
../poster/thig/05/14_05.json,05,thig,0.848438,0.917376,0.559425,0.888272,0.895957,0.38,0,0,0.780874,34.14
../poster/thig/06/07_06.json,06,thig,0.824416,0.916116,0.512992,0.841665,0.901436,0.3,0,0,0.681028,36.01
../poster/thig/05/09_05.json,05,thig,0.840031,0.930231,0.531269,0.897133,0.894164,0.48,0,0,0.715931,33.57
../poster/thig/04/09_04.json,04,thig,0.770945,0.94076,0.486284,0.918422,0.879596,0.47,0,0,0.79321,33.14
../poster/thig/06/08_06.json,06,thig,0.885628,0.906398,0.529061,0.835366,0.875877,0.59,0,0,0.583354,33.29
../poster/thig/06/03_06.json,06,thig,0.8201,0.908566,0.50521,0.837749,0.878507,0.21,0,0,0.823582,34
../poster/thig/05/02_05.json,05,thig,0.833587,0.931656,0.532298,0.887749,0.890385,0.58,0,0,0.766721,32.43
../poster/thig/06/14_06.json,06,thig,0.882752,0.912915,0.565341,0.847258,0.859682,0.64,0,0,0.550037,32.57
../poster/thig/05/18_05.json,05,thig,0.827106,0.931922,0.518501,0.886171,0.891842,0.45,0,0,0.756697,32.86
../poster/thig/06/10_06.json,06,thig,0.823842,0.910453,0.558798,0.85583,0.914001,0.35,0,0,0.73239,34.57
../poster/thig/06/13_06.json,06,thig,0.894868,0.910722,0.520389,0.854036,0.885623,0.65,0,0,0.664028,34.86
../poster/thig/06/01_06.json,06,thig,0.835985,0.910022,0.545567,0.843183,0.889296,0.25,0,0,0.789577,36
../poster/thig/06/06_06.json,06,thig,0.903486,0.910623,0.634532,0.843852,0.884173,0.54,0,0,0.652429,34.43
../poster/thig/06/04_06.json,06,thig,0.897652,0.908892,0.546795,0.830817,0.891031,0.38,0,0,0.649925,37.85
../poster/thig/06/19_06.json,06,thig,0.829122,0.906426,0.532226,0.83989,0.876918,0.52,0,0,0.548396,32.43
../poster/thig/06/09_06.json,06,thig,0.897897,0.907565,0.548472,0.845144,0.876405,0.51,0,0,0.547954,33.43
../poster/thig/06/15_06.json,06,thig,0.827175,0.910304,0.533675,0.847622,0.908386,0.42,0,0,0.772664,34.01
../poster/thig/06/00_06.json,06,thig,0.835985,0.910022,0.545567,0.843183,0.889296,0.25,0,0,0.789577,36
../poster/thig/06/11_06.json,06,thig,0.82309,0.906277,0.530233,0.845393,0.896846,0.31,0,0,0.807554,34.43
../poster/thig/07/09_07.json,07,thig,0.87494,0.888502,0.570722,0.782799,0.888991,0.6,0,0,0.43695,33.29
../poster/thig/06/02_06.json,06,thig,0.897888,0.909583,0.543791,0.842905,0.863347,0.6,0,0,0.642103,33.43
../poster/thig/06/12_06.json,06,thig,0.841241,0.908957,0.491684,0.808173,0.886693,0.64,0,0,0.61405,36.42
../poster/thig/06/16_06.json,06,thig,0.887442,0.915171,0.520538,0.850357,0.857143,0.46,0,0,0.629207,32
../poster/thig/06/17_06.json,06,thig,0.881933,0.915653,0.591693,0.855478,0.894164,0.44,0,0,0.623329,33.57
../poster/thig/07/06_07.json,07,thig,0.880005,0.882862,0.59843,0.778562,0.89274,0.42,0,0,0.579891,37.14
../poster/thig/06/18_06.json,06,thig,0.887863,0.905509,0.530246,0.833505,0.891842,0.45,0,0,0.65657,32.86
../poster/thig/07/17_07.json,07,thig,0.919984,0.890154,0.611819,0.788771,0.894164,0.49,0,0,0.465309,33.57
../poster/thig/07/10_07.json,07,thig,0.858506,0.881311,0.545443,0.775925,0.898108,0.53,0,0,0.59843,34.85
../poster/thig/07/11_07.json,07,thig,0.867202,0.876641,0.574635,0.791389,0.882687,0.5,0,0,0.609552,34
../poster/thig/07/18_07.json,07,thig,0.857543,0.892347,0.543124,0.757872,0.898137,0.49,0,0,0.564335,34.86
../poster/thig/07/04_07.json,07,thig,0.871761,0.890148,0.559113,0.749935,0.907725,0.54,0,0,0.515155,38.43
../poster/thig/07/02_07.json,07,thig,0.857548,0.882628,0.537378,0.798781,0.898397,0.61,0,0,0.695127,33.57
../poster/thig/07/05_07.json,07,thig,0.862682,0.887034,0.498533,0.758343,0.882979,0.26,0,0,0.63173,35.28
../poster/thig/07/03_07.json,07,thig,0.868169,0.882841,0.516309,0.798475,0.876405,0.36,0,0,0.650374,33.43
../poster/thig/08/01_08.json,08,thig,0.887955,0.843173,0.547562,0.699714,0.902588,0.57,0,0,0.506768,36.43
../poster/thig/07/14_07.json,07,thig,0.859416,0.880492,0.573191,0.793586,0.909444,0.26,0,0,0.711639,39.15
../poster/thig/07/19_07.json,07,thig,0.86834,0.89122,0.563547,0.776411,0.905352,0.31,0,0,0.509014,36
../poster/thig/07/16_07.json,07,thig,0.92807,0.887203,0.602464,0.773673,0.857143,0.64,0,0,0.355873,32
../poster/thig/08/19_08.json,08,thig,0.891657,0.857176,0.543941,0.685979,0.885623,0.34,0,0,0.43635,34.86
../poster/thig/07/07_07.json,07,thig,0.843594,0.870605,0.555203,0.798085,0.881161,0.55,0,0,0.505515,33.57
../poster/thig/07/12_07.json,07,thig,0.884855,0.886611,0.484514,0.75055,0.888889,0.59,0,0,0.50649,37.13
../poster/thig/07/15_07.json,07,thig,0.85815,0.881797,0.529183,0.781003,0.891467,0.33,0,0,0.5792,38
../poster/thig/07/13_07.json,07,thig,0.866734,0.890181,0.517494,0.776511,0.909456,0.57,0,0,0.422819,32.86
../poster/thig/07/00_07.json,07,thig,0.88012,0.88502,0.591382,0.796581,0.890621,0.33,0,0,0.80639,36.43
../poster/thig/08/12_08.json,08,thig,0.904388,0.849188,0.494895,0.6779,0.890378,0.53,0,0,0.429036,41.55
../poster/thig/08/13_08.json,08,thig,0.886222,0.84784,0.550752,0.721371,0.912461,0.68,0,0,0.431553,35.57
../poster/thig/08/09_08.json,08,thig,0.903511,0.847922,0.4866,0.669753,0.895084,0.6,0,0,0.307023,33.86
../poster/thig/08/04_08.json,08,thig,0.86602,0.857909,0.504539,0.665923,0.888919,0.42,0,0,0.374096,37.14
../poster/thig/08/17_08.json,08,thig,0.942493,0.855919,0.561195,0.690988,0.896846,0.54,0,0,0.362254,34.43
../poster/thig/08/14_08.json,08,thig,0.852389,0.857058,0.569265,0.689029,0.920569,0.43,0,0,0.446684,39.15
../poster/thig/07/01_07.json,07,thig,0.88012,0.88502,0.591382,0.796581,0.890621,0.33,0,0,0.80639,36.43
../poster/thig/08/06_08.json,08,thig,0.872526,0.844853,0.551928,0.708012,0.924426,0.58,0,0,0.34029,39.27
../poster/thig/08/00_08.json,08,thig,0.887955,0.843173,0.547562,0.699714,0.902588,0.57,0,0,0.506768,36.43
../poster/thig/08/18_08.json,08,thig,0.88241,0.846332,0.506321,0.691551,0.87725,0.4,0,0,0.391746,37.16
